GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score,GENRES,Main_Genre,second_genre,third_genre,fourth_genre,name_genre_match
Raji: An Ancient Epic,2.25,"25,032",9,5-6 hours,3.4,22 Jul 21,2250,1000,"Action, Adventure, Puzzle",Action, Adventure, Puzzle,,Raji: An Ancient Epic
Backbone,2.71,"7,293",3.6,8-10 hours,3.4,28 Oct 21,2707,1000,"Adventure, Point & Click",Adventure, Point & Click,,,Backbone
Army of TWO,2.35,"113,638",1.1,30-35 hours,3.4,09 Nov 20,2941,1250,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Army of TWO
Just Cause 4,3.68,"122,768",0.7,50-60 hours,3.4,12 May 21,9196,2500,"Action, Open World, Adventure",Action, Open World, Adventure,,Just Cause 4
Kill It With Fire,2.23,"46,897",14,4-5 hours,3.4,04 Nov 21,2225,1000,"Action, Simulation, Indie",Action, Simulation, Indie,,Kill It With Fire
Shredders,3.11,"10,753",2.7,8-10 hours,3.4,17 Mar 22,3111,1000,"Sports, Snowboarding, Simulation",Sports, Snowboarding, Simulation,,Shredders
Trailmakers,3.06,"17,806",3.3,12-15 hours,3.4,06 Aug 20,3674,1200,"Adventure, Action, Racing",Adventure, Action, Racing,,Trailmakers
The Bard's Tale Trilogy,5.64,"10,780",1.7,60-80 hours,3.4,16 Dec 19,5638,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,The Bard's Tale Trilogy
The Procession to Calvary,1.29,"23,853",52.4,1-2 hours,3.4,07 Oct 21,1288,1000,"Adventure, Point & Click, Indie",Adventure, Point & Click, Indie,,The Procession to Calvary
Disneyland Adventures,3.9,"93,220",2.3,40-50 hours,3.4,16 Dec 19,3904,1000,"Adventure, Open World",Adventure, Open World,,,Disneyland Adventures
Lumines Remastered,9.76,"21,973",0.3,15-20 hours,3.3,05 Aug 21,9765,1000,"Puzzle, Music",Puzzle, Music,,,Lumines Remastered
Empire of Sin,5.99,"27,123",0.1,60-80 hours,3.3,18 Mar 21,7186,1200,"Strategy, RPG, Management",Strategy, RPG, Management,,Empire of Sin
Skul: The Hero Slayer,6,"20,337",1.3,1-2 hours,3.3,10 Feb 22,5996,1000,"Action, Roguelite, Indie",Action, Roguelite, Indie,,Skul: The Hero Slayer
FIFA 21 (Xbox One),2.8,"71,742",0.5,150-200 hours,3.3,06 May 21,2802,1000,"Sports, Simulation",Sports, Simulation,,,FIFA 21 (Xbox One)
Olija,1.83,"4,380",14.2,4-5 hours,3.3,04 Jan 22,1830,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Olija
Besiege Console,3.9,"10,852",3.6,6-8 hours,3.3,10 Feb 22,3896,1000,"Simulation, Physics, Sandbox",Simulation, Physics, Sandbox,,Besiege Console
NBA LIVE 19,5.71,"29,473",0.1,,3.3,09 Nov 20,5714,1000,"Sports, Simulation",Sports, Simulation,,,NBA LIVE 19
Double Dragon Neon,6.6,"36,824",0.6,20-25 hours,3.3,16 Dec 19,2640,400,"Action, Beat 'em up",Action, Beat 'em up,,,Double Dragon Neon
EA SPORTS Rory McIlroy PGA TOUR,2.99,"68,686",2.3,25-30 hours,3.3,09 Nov 20,2994,1000,"Sports, Golf, Simulation",Sports, Golf, Simulation,,EA SPORTS Rory McIlroy PGA TOUR
FIFA 21,3.45,"38,890",0.5,200-300 hours,3.3,06 May 21,3447,1000,"Sports, Simulation",Sports, Simulation,,,FIFA 21
Banjo-Kazooie: Nuts Bolts,2.99,"116,819",1.4,30-35 hours,3.3,28 Apr 20,3735,1250,"Adventure, Action, Platformer",Adventure, Action, Platformer,,Banjo-Kazooie: Nuts Bolts
DIRT 5,2.45,"70,960",1.7,15-20 hours,3.3,24 Feb 21,4414,1800,"Racing, Arcade, Offroad",Racing, Arcade, Offroad,,DIRT 5
Wolfenstein: Youngblood,2.76,"57,467",3.4,50-60 hours,3.3,06 Feb 20,2760,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Wolfenstein: Youngblood
Lawn Mowing Simulator,5.54,"33,974",0.1,60-80 hours,3.3,02 Dec 21,7706,1390,Simulation,Simulation,,,,Lawn Mowing Simulator
Descenders,12.95,"89,907",0.1,50-60 hours,3.3,16 Dec 19,19426,1500,"Racing, Sports, Extreme Sports",Racing, Sports, Extreme Sports,,Descenders
Astria Ascending,7.28,"8,446",0.4,,3.3,18 Sep 21,7282,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Astria Ascending
Need for Speed Rivals,3.4,"156,431",2.3,40-50 hours,3.3,09 Nov 20,3401,1000,"Racing, Open World",Racing, Open World,,,Need for Speed Rivals
We Happy Few,5.01,"104,309",0.4,40-50 hours,3.3,21 Oct 20,7717,1540,"Action, Adventure, Survival",Action, Adventure, Survival,,We Happy Few
Anthem,2.7,"138,608",1.5,60-80 hours,3.3,09 Nov 20,2701,1000,"Action, RPG, Open World",Action, RPG, Open World,,Anthem
Grand Theft Auto: San Andreas – The Definitive Edition,4.19,"122,455",2.2,50-60 hours,3.3,20 Nov 21,4189,1000,"Action, Open World, Adventure",Action, Open World, Adventure,,Grand Theft Auto: San Andreas – The Definitive Edition
The Bard's Tale IV: Director's Cut,4.47,"13,640",0.8,50-60 hours,3.3,16 Dec 19,4466,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,The Bard's Tale IV: Director's Cut
Fe,2.81,"20,917",5.7,10-12 hours,3.3,09 Nov 20,2814,1000,"Adventure, Exploration",Adventure, Exploration,,,Fe
Halo: Spartan Assault,3.5,"154,721",2.5,20-25 hours,3.3,16 Dec 19,3499,1000,"Action, Twin Stick Shooter",Action, Twin Stick Shooter,,,Halo: Spartan Assault
FIFA 20,3.25,"93,669",0.3,150-200 hours,3.3,09 Nov 20,3248,1000,"Sports, Simulation",Sports, Simulation,,,FIFA 20
Feeding Frenzy 2: Shipwreck Showdown,1.71,"41,431",15.8,8-10 hours,3.2,09 Nov 20,342,200,"Arcade, Action",Arcade, Action,,,Feeding Frenzy 2: Shipwreck Showdown
Fallout 76,2.79,"179,272",0.7,80-100 hours,3.2,09 Jul 20,3659,1310,"RPG, Action, Open World",RPG, Action, Open World,,Fallout 76
Serious Sam 4,3.25,"39,947",3.9,8-10 hours,3.2,07 Dec 21,3249,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Serious Sam 4
Generation Zero,3.4,"60,442",0.6,40-50 hours,3.2,30 Nov 21,4730,1390,"Action, Adventure, Open World",Action, Adventure, Open World,,Generation Zero
Recompile,3.38,"7,808",6.1,6-8 hours,3.2,17 Aug 21,3378,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Recompile
Joy Ride Turbo,2.92,"54,953",3.6,8-10 hours,3.2,21 Oct 20,585,200,"Racing, Arcade",Racing, Arcade,,,Joy Ride Turbo
ARK: Survival Evolved,2.15,"162,516",9.2,1-2 hours,3.2,03 Mar 22,3226,1500,"Action, Survival, Open World",Action, Survival, Open World,,ARK: Survival Evolved
Madden NFL 21,2.52,"22,414",3,8-10 hours,3.2,02 Mar 21,2515,1000,"Sports, Simulation",Sports, Simulation,,,Madden NFL 21
Embr,4.15,"18,501",1.7,20-25 hours,3.2,06 Jan 22,4152,1000,"Action, Simulation, Indie",Action, Simulation, Indie,,Embr
Lake,1.28,"14,544",40.6,6-8 hours,3.2,15 Dec 21,1280,1000,"Adventure, Open World",Adventure, Open World,,,Lake
Craftopia,2.91,"43,789",2,25-30 hours,3.2,01 Sep 21,2908,1000,"Action, Adventure, Open World",Action, Adventure, Open World,,Craftopia
Edge of Eternity,7.59,"14,114",0,,3.2,31 Jan 22,7589,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Edge of Eternity
theHunter: Call of the Wild,7.55,"127,983",0,120-150 hours,3.2,16 Dec 19,28173,3730,"Simulation, Hunting, Open World",Simulation, Hunting, Open World,,theHunter: Call of the Wild
Heavy Weapon,2.81,"68,766",3.1,8-10 hours,3.2,09 Nov 20,561,200,"Action, Arcade, Shooter",Action, Arcade, Shooter,,Heavy Weapon
Crown Trick,5.5,"12,253",0,,3.2,03 Sep 21,5498,1000,"RPG, Roguelike, Turn-Based",RPG, Roguelike, Turn-Based,,Crown Trick
Rocket Arena,5.65,"23,636",0.9,50-60 hours,3.1,09 Nov 20,5649,1000,"Action, Shooter, Multiplayer",Action, Shooter, Multiplayer,,Rocket Arena
A Memoir Blue,1.17,"12,819",62.6,1-2 hours,3.1,24 Mar 22,1167,1000,"Adventure, Story Rich",Adventure, Story Rich,,,A Memoir Blue
Kameo: Elements of Power,3.71,"119,215",0.3,20-25 hours,3.1,16 Dec 19,3710,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Kameo: Elements of Power
Medal of Honor: Airborne,3.9,"125,854",0.4,40-50 hours,3.1,09 Nov 20,3897,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Medal of Honor: Airborne
Second Extinction,4.47,"75,606",1.1,25-30 hours,3.1,10 Apr 21,4473,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Second Extinction
Zuma,4.4,"55,950",0.6,50-60 hours,3.1,09 Nov 20,880,200,"Puzzle, Arcade",Puzzle, Arcade,,,Zuma
Rubber Bandits,1.8,"32,058",10.7,1-2 hours,3.1,02 Dec 21,1799,1000,"Action, Party Game, Multiplayer",Action, Party Game, Multiplayer,,Rubber Bandits
ClusterTruck,3.9,"89,829",2.2,8-10 hours,3.1,13 Dec 18,3905,1000,"Action, Platformer, Indie",Action, Platformer, Indie,,ClusterTruck
The Bard's Tale ARPG : Remastered and Resnarkled,1.89,"23,738",22,2-3 hours,3.1,18 Jun 20,1894,1000,"RPG, Action, Adventure",RPG, Action, Adventure,,The Bard's Tale ARPG : Remastered and Resnarkled
Wasteland Remastered,3.58,"4,357",4.4,25-30 hours,3.1,25 Feb 20,3583,1000,"RPG, Turn-Based, Strategy",RPG, Turn-Based, Strategy,,Wasteland Remastered
ScreamRide,11.08,"52,491",0.1,50-60 hours,3.1,16 Dec 19,11080,1000,"Simulation, Strategy, Puzzle",Simulation, Strategy, Puzzle,,ScreamRide
Townscaper,1.13,"66,402",65.1,0-0.5 hours,3,02 Dec 21,1125,1000,"Simulation, Indie",Simulation, Indie,,,Townscaper
Into the Pit,1.58,"1,710",24,10-12 hours,3,08 Oct 21,1577,1000,"Action, FPS, Roguelite",Action, FPS, Roguelite,,Into the Pit
Exo One,5.84,"33,580",0.6,8-10 hours,3,15 Nov 21,5840,1000,"Adventure, Simulation, Exploration",Adventure, Simulation, Exploration,,Exo One
NHL 94 Rewind,2.12,"22,264",12.5,2-3 hours,3,03 Dec 20,2117,1000,"Sports, Arcade",Sports, Arcade,,,NHL 94 Rewind
Nuclear Throne,22.28,"12,261",0,,3,09 Sep 21,22277,1000,"Action, Roguelike, Indie",Action, Roguelike, Indie,,Nuclear Throne
Madden NFL 21 (Xbox One),2.39,"44,754",2.4,10-12 hours,3,02 Mar 21,2387,1000,"Sports, Simulation",Sports, Simulation,,,Madden NFL 21 (Xbox One)
PAW Patrol: Mighty Pups Save Adventure Bay,1.48,"30,023",28.4,3-4 hours,3,16 Dec 21,1483,1000,"Adventure, Platformer",Adventure, Platformer,,,PAW Patrol: Mighty Pups Save Adventure Bay
The Last Kids on Earth and the Staff of Doom,2.9,"8,644",5.4,12-15 hours,2.9,10 Feb 22,2897,1000,"Action, Adventure",Action, Adventure,,,The Last Kids on Earth and the Staff of Doom
Bejeweled 2,5.12,"23,877",0.7,300-500 hours,2.9,09 Nov 20,1025,200,"Puzzle, Arcade",Puzzle, Arcade,,,Bejeweled 2
Goat Simulator,2.33,"257,140",1.4,4-5 hours,2.9,16 Dec 19,5532,2375,"Action, Simulation, Indie",Action, Simulation, Indie,,Goat Simulator
The Good Life,8.06,"8,295",0.5,60-80 hours,2.9,30 Sep 21,8060,1000,"Adventure, RPG, Simulation",Adventure, RPG, Simulation,,The Good Life
Kentucky Route Zero: TV Edition,2.63,"6,563",9.2,8-10 hours,2.9,13 Mar 22,2632,1000,"Adventure, Point & Click",Adventure, Point & Click,,,Kentucky Route Zero: TV Edition
Space Warlord Organ Trading Simulator,1.46,"15,794",22,2-3 hours,2.9,26 Nov 21,1465,1000,"Simulation, Indie",Simulation, Indie,,,Space Warlord Organ Trading Simulator
Power Rangers: Battle for the Grid,8.92,"13,851",0.4,,2.9,26 Mar 20,8923,1000,"Fighting, Action",Fighting, Action,,,Power Rangers: Battle for the Grid
Bleeding Edge,2.08,"60,306",13,8-10 hours,2.9,20 Mar 20,2085,1000,"Action, Multiplayer, Fighting",Action, Multiplayer, Fighting,,Bleeding Edge
Feeding Frenzy,2.15,"90,172",6.1,10-12 hours,2.9,09 Nov 20,430,200,"Arcade, Action",Arcade, Action,,,Feeding Frenzy
Rush: A Disney Pixar Adventure,3.01,"82,740",3.7,15-20 hours,2.9,16 Dec 19,3005,1000,"Adventure, Platformer",Adventure, Platformer,,,Rush: A Disney Pixar Adventure
Gang Beasts,1.96,"135,527",9.3,1-2 hours,2.9,01 Jul 21,1960,1000,"Action, Fighting, Multiplayer",Action, Fighting, Multiplayer,,Gang Beasts
Worms Rumble,10.31,"30,845",0.2,80-100 hours,2.9,23 Jun 21,10313,1000,"Action, Platformer, Shooter",Action, Platformer, Shooter,,Worms Rumble
Jetpac Refuelled,4.82,"55,410",1,10-12 hours,2.8,21 Oct 20,965,200,"Action, Arcade, Shooter",Action, Arcade, Shooter,,Jetpac Refuelled
Perfect Dark Zero,3.88,"72,391",1.2,80-100 hours,2.7,16 Dec 19,3876,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Perfect Dark Zero
Genesis Noir,1.58,"13,450",11.6,3-4 hours,2.7,09 Mar 21,1908,1210,"Adventure, Puzzle",Adventure, Puzzle,,,Genesis Noir
DEEEER Simulator: Your Average Everyday Deer Game,1.54,"52,200",28.4,1-2 hours,2.7,23 Nov 21,1537,1000,"Action, Simulation, Indie",Action, Simulation, Indie,,DEEEER Simulator: Your Average Everyday Deer Game
Madden NFL 22,2.28,"15,217",2.2,3-4 hours,2.7,17 Feb 22,2280,1000,"Sports, Simulation",Sports, Simulation,,,Madden NFL 22
I Am Fish,16.46,"41,305",0.1,40-50 hours,2.7,16 Sep 21,16455,1000,"Adventure, Simulation, Physics",Adventure, Simulation, Physics,,I Am Fish
Pupperazzi,1.88,"13,821",15.9,3-4 hours,2.6,11 Jan 22,1882,1000,"Adventure, Casual, Indie",Adventure, Casual, Indie,,Pupperazzi
Totally Reliable Delivery Service,3.88,"94,225",0.6,8-10 hours,2.6,01 Apr 20,3991,1030,"Action, Open World, Simulation",Action, Open World, Simulation,,Totally Reliable Delivery Service
Secret Neighbor,2.84,"10,788",2.7,5-6 hours,2.6,16 Dec 19,2844,1000,"Action, Horror, Multiplayer",Action, Horror, Multiplayer,,Secret Neighbor
Telling Lies,1.25,"20,033",43.2,1-2 hours,2.6,03 Feb 22,1254,1000,"Adventure, Simulation, Indie",Adventure, Simulation, Indie,,Telling Lies
Ben 10: Power Trip,3.09,"21,515",3.2,12-15 hours,2.6,16 Dec 21,3093,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Ben 10: Power Trip
Madden NFL 22 (Xbox One),2.01,"12,985",4.9,3-4 hours,2.6,17 Feb 22,2010,1000,"Sports, Simulation",Sports, Simulation,,,Madden NFL 22 (Xbox One)
DayZ,2.97,"106,824",4.3,1-2 hours,2.4,07 May 20,2967,1000,"Action, Survival, Multiplayer",Action, Survival, Multiplayer,,DayZ
Nongunz: Doppelganger Edition,7.97,"6,584",1,25-30 hours,2.4,28 Oct 21,7968,1000,"Action, Roguelike, Platformer",Action, Roguelike, Platformer,,Nongunz: Doppelganger Edition
Dead Space: Ignition,1.69,"25,650",22.3,3-4 hours,2.3,09 Nov 20,338,200,"Puzzle, Action, Horror",Puzzle, Action, Horror,,Dead Space: Ignition
Library Of Ruina,21.53,"14,668",0,,2.2,,21525,1000,"Strategy, RPG, Indie",Strategy, RPG, Indie,,Library Of Ruina
SkateBIRD,4.96,"46,013",2.8,6-8 hours,2.2,09 Sep 21,4962,1000,"Sports, Simulation, Indie",Sports, Simulation, Indie,,SkateBIRD
Crackdown 3: Wrecking Zone,2.37,"17,076",6.9,6-8 hours,2.2,18 Dec 19,1184,500,"Action, Multiplayer",Action, Multiplayer,,,Crackdown 3: Wrecking Zone
Race with Ryan,1.6,"18,928",27.9,3-4 hours,2.1,16 Dec 21,1602,1000,"Racing, Family",Racing, Family,,,Race with Ryan
Surgeon Simulator 2,14.55,"49,768",0.1,50-60 hours,2,02 Sep 21,14549,1000,"Simulation, Physics, Indie",Simulation, Physics, Indie,,Surgeon Simulator 2
NBA 2K22 (Xbox One),3.86,"11,311",0,,3.4,28 Apr 22,3861,1000,"Sports, Simulation",Sports, Simulation,,,NBA 2K22 (Xbox One)
UNSIGHTED,6.19,"3,684",0.5,,3.6,10 Sep 21,6195,1000,"Action, RPG, Adventure",Action, RPG, Adventure,,UNSIGHTED
Lemnis Gate,7.04,"2,739",0.4,,3.3,10 Sep 21,7041,1000,"Strategy, Action, FPS",Strategy, Action, FPS,,Lemnis Gate
Dandy Ace,5.5,"4,951",1.7,20-25 hours,3.1,28 Sep 21,5498,1000,"Action, Roguelike, Indie",Action, Roguelike, Indie,,Dandy Ace
Bassmaster Fishing 2022,10.72,"9,425",0,,2.4,09 Oct 21,14573,1360,"Simulation, Sports, Fishing",Simulation, Sports, Fishing,,Bassmaster Fishing 2022
Kraken Academy!!,1.8,"2,360",17.3,6-8 hours,3.4,22 Mar 22,1803,1000,"Adventure, Indie",Adventure, Indie,,,Kraken Academy!!
Mind Scanners,3.31,"1,298",3.1,12-15 hours,2.3,30 Nov 21,3309,1000,"Simulation, Adventure, Indie",Simulation, Adventure, Indie,,Mind Scanners
ANVIL: Vault Breaker,4.7,"7,405",0.7,100-120 hours,3.6,03 Dec 21,4703,1000,"Action, Roguelike, Shooter",Action, Roguelike, Shooter,,ANVIL: Vault Breaker
Unsouled,37.18,"4,302",0,,3.1,28 Apr 22,37178,1000,"Action, RPG, Indie",Action, RPG, Indie,,Unsouled
Fae Tactics,2.65,166,0,,3,18 Nov 21,2653,1000,"RPG, Strategy, Turn-Based",RPG, Strategy, Turn-Based,,Fae Tactics
Undungeon,5.6,386,0,,2.5,19 Nov 21,5599,1000,"Action, RPG, Adventure",Action, RPG, Adventure,,Undungeon
Cricket 22,3.91,"4,411",1.2,12-15 hours,3.4,05 Apr 22,3912,1000,"Sports, Simulation",Sports, Simulation,,,Cricket 22
Next Space Rebels,6.3,"8,091",0.3,,3.2,17 Nov 21,6296,1000,"Simulation, Adventure, Indie",Simulation, Adventure, Indie,,Next Space Rebels
One Step From Eden,3.88,"1,489",1.1,40-50 hours,3.7,11 Nov 21,3882,1000,"Action, Strategy, Indie",Action, Strategy, Indie,,One Step From Eden
The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition,7.64,"4,273",0.1,,4.1,17 Mar 22,9012,1180,"RPG, Turn-Based, Strategy",RPG, Turn-Based, Strategy,,The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition
Signs of the Sojourner,3.41,"1,065",2.9,15-20 hours,2.6,02 Sep 21,3406,1000,"Adventure, Card Game, Indie",Adventure, Card Game, Indie,,Signs of the Sojourner
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition (JP),1.61,730,26.7,80-100 hours,4.6,05 Dec 20,1611,1000,,,,,,
Chinatown Detective Agency,2.37,738,0,,2.6,07 Apr 22,2369,1000,"Adventure, Point & Click, Mystery",Adventure, Point & Click, Mystery,,Chinatown Detective Agency
RESEARCH and DESTROY,13.46,"6,162",0.1,,3.1,26 Apr 22,13461,1000,"Action, Turn-Based, Strategy",Action, Turn-Based, Strategy,,RESEARCH and DESTROY
Loot River,7.86,334,0,,3.2,Yesterday,7859,1000,"Action, Roguelike, Dungeon Crawler",Action, Roguelike, Dungeon Crawler,,Loot River
Zero Escape: The Nonary Games,1.69,"1,250",25.9,40-50 hours,4.2,22 Mar 22,1689,1000,"Adventure, Puzzle, Visual Novel",Adventure, Puzzle, Visual Novel,,Zero Escape: The Nonary Games
Paradise Killer,1.57,"1,250",18,12-15 hours,4.2,17 Mar 22,1565,1000,"Adventure, Open World, Exploration",Adventure, Open World, Exploration,,Paradise Killer
Crusader Kings III,16.36,"11,456",0,,3.8,14 Mar 22,16365,1000,"Strategy, RPG, Simulation",Strategy, RPG, Simulation,,Crusader Kings III
Galactic Civilizations III (Windows),6.51,348,0,,3.1,16 Mar 22,9565,1470,"Strategy, Indie, Simulation",Strategy, Indie, Simulation,,Galactic Civilizations III (Windows)
Dragon Ball FighterZ (Windows),6.18,"1,436",0.4,,3.9,16 Mar 22,6176,1000,"Fighting, Action",Fighting, Action,,,Dragon Ball FighterZ (Windows)
Phoenix Point,13.87,"7,388",0,,3.6,01 Oct 21,13869,1000,"Strategy, RPG, Turn-Based",Strategy, RPG, Turn-Based,,Phoenix Point
Super Mega Baseball 3,7.96,"9,309",0.1,60-80 hours,3.8,03 Mar 22,7957,1000,"Sports, Simulation, Arcade",Sports, Simulation, Arcade,,Super Mega Baseball 3
Immortal Realms: Vampire Wars,4.76,"5,618",0.9,60-80 hours,3.5,01 Jul 21,4761,1000,"Strategy, RPG, Action",Strategy, RPG, Action,,Immortal Realms: Vampire Wars
Transformers: Battlegrounds,2.4,"1,733",1,15-20 hours,3.1,16 Dec 21,2873,1195,"Strategy, Tactics",Strategy, Tactics,,,Transformers: Battlegrounds
The Catch: Carp Coarse Fishing,11.7,"8,084",0,,2.7,18 May 21,13455,1150,"Simulation, Sports, Fishing",Simulation, Sports, Fishing,,The Catch: Carp Coarse Fishing
Atomicrops,2.9,"1,853",1.9,,4.5,22 Jul 21,5374,1850,"Action, Roguelite, Indie",Action, Roguelite, Indie,,Atomicrops
Lethal League Blaze,3.91,"4,509",1.6,15-20 hours,3.6,29 Jul 21,3905,1000,"Action, Sports, Indie",Action, Sports, Indie,,Lethal League Blaze
The Evil Within (JP),1.61,388,12.1,,3.8,16 Aug 21,2787,1735,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,The Evil Within (JP)
Shadowrun Returns,-,0,0,,,20 Apr 22,1000,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Shadowrun Returns
Shadowrun: Hong Kong - Extended Edition,-,0,0,,,20 Apr 22,1000,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Shadowrun: Hong Kong - Extended Edition
Shadowrun: Dragonfall - Director's Cut,-,0,0,,,20 Apr 22,1000,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Shadowrun: Dragonfall - Director's Cut
